city,timestamp,temperature,season
New York,2010-01-01,-3.5211876819432404,winter
New York,2010-01-02,2.573066785618156,winter
New York,2010-01-03,1.6288659672590984,winter
New York,2010-01-04,6.615328493197497,winter
New York,2010-01-05,5.54434725514767,winter
New York,2010-01-06,1.1303155318220919,winter
New York,2010-01-07,5.187293601178569,winter
New York,2010-01-08,8.01451841056903,winter
New York,2010-01-09,8.371036430508756,winter
New York,2010-01-10,-2.0770068252915515,winter
New York,2010-01-11,-0.019057808751982562,winter
New York,2010-01-12,12.3453266087765,winter
New York,2010-01-13,2.59098377569287,winter
New York,2010-01-14,11.95632897303921,winter
New York,2010-01-15,5.4510031806633075,winter
New York,2010-01-16,5.538709585076393,winter
New York,2010-01-17,-5.861385572449017,winter
New York,2010-01-18,-1.9158385567174976,winter
New York,2010-01-19,6.271921475796104,winter
New York,2010-01-20,-9.051821546973803,winter
New York,2010-01-21,6.26615426022693,winter
New York,2010-01-22,6.235411667083508,winter
New York,2010-01-23,-5.3130851499244205,winter
New York,2010-01-24,4.508338352265994,winter
New York,2010-01-25,1.3289833912320324,winter
New York,2010-01-26,-6.323540063509663,winter
New York,2010-01-27,-4.554240633275077,winter
New York,2010-01-28,-6.5712542029270775,winter
New York,2010-01-29,-0.8421462037004623,winter
New York,2010-01-30,5.22606654597023,winter
New York,2010-01-31,2.9284756907775793,winter
New York,2010-02-01,-2.0551327138492264,winter
New York,2010-02-02,-0.14589088108810275,winter
New York,2010-02-03,-6.56287137879006,winter
New York,2010-02-04,5.476915468579597,winter
New York,2010-02-05,1.1337539540120134,winter
New York,2010-02-06,-12.095541096359579,winter
New York,2010-02-07,6.417611980113584,winter
New York,2010-02-08,-10.993906959032389,winter
New York,2010-02-09,6.07575396746449,winter
New York,2010-02-10,-4.720648174294768,winter
New York,2010-02-11,0.2569812026999433,winter
New York,2010-02-12,-5.950761674398547,winter
New York,2010-02-13,2.5391412805152562,winter
New York,2010-02-14,-4.938487627488019,winter
New York,2010-02-15,-9.869361740489076,winter
New York,2010-02-16,0.9655218599595659,winter
New York,2010-02-17,8.180337310011684,winter
New York,2010-02-18,10.805020777866424,winter
New York,2010-02-19,0.726778874370625,winter
New York,2010-02-20,-0.08608836297830064,winter
New York,2010-02-21,-0.3097604100985232,winter
New York,2010-02-22,-3.173391422796753,winter
New York,2010-02-23,-3.214942128621216,winter
New York,2010-02-24,10.697641204772331,winter
New York,2010-02-25,-11.005847217922879,winter
New York,2010-02-26,-1.6154020502651603,winter
New York,2010-02-27,-6.1818108463606025,winter
New York,2010-02-28,-0.9940772709447038,winter
New York,2010-03-01,12.92083176529085,spring
New York,2010-03-02,18.06697375874942,spring
New York,2010-03-03,9.781044949636643,spring
New York,2010-03-04,-0.8450099100235029,spring
New York,2010-03-05,8.905932835195681,spring
New York,2010-03-06,4.209172383262095,spring
New York,2010-03-07,8.676437205737654,spring
New York,2010-03-08,8.83783962078789,spring
New York,2010-03-09,11.236489284915992,spring
New York,2010-03-10,16.83988976307923,spring
New York,2010-03-11,8.644635018120265,spring
New York,2010-03-12,12.240214408606285,spring
New York,2010-03-13,7.424721608799372,spring
New York,2010-03-14,4.540335277089281,spring
New York,2010-03-15,7.57541212190937,spring
New York,2010-03-16,9.511060993878976,spring
New York,2010-03-17,5.470438144663232,spring
New York,2010-03-18,18.987348825182917,spring
New York,2010-03-19,15.164726562724976,spring
New York,2010-03-20,5.903924726828781,spring
New York,2010-03-21,5.085578242357002,spring
New York,2010-03-22,19.522239096071743,spring
New York,2010-03-23,4.897234601414359,spring
New York,2010-03-24,5.886678160968939,spring
New York,2010-03-25,11.865566313465745,spring
New York,2010-03-26,7.061200995018587,spring
New York,2010-03-27,12.017223412208681,spring
New York,2010-03-28,8.810434704354495,spring
New York,2010-03-29,14.617797387087913,spring
New York,2010-03-30,12.104679940107134,spring
New York,2010-03-31,7.941554629055723,spring
New York,2010-04-01,12.859163153112455,spring
New York,2010-04-02,12.33160005064842,spring
New York,2010-04-03,12.628520167849583,spring
New York,2010-04-04,4.983072999942804,spring
New York,2010-04-05,12.936531314720522,spring
New York,2010-04-06,12.573255050580466,spring
New York,2010-04-07,11.701107195333973,spring
New York,2010-04-08,20.156117140166906,spring
New York,2010-04-09,12.587808455896166,spring
New York,2010-04-10,7.009941407116527,spring
New York,2010-04-11,10.043812333918053,spring
New York,2010-04-12,8.989400345556051,spring
New York,2010-04-13,11.758876980187317,spring
New York,2010-04-14,16.725597652827883,spring
New York,2010-04-15,6.629141452781065,spring
New York,2010-04-16,-0.9854077514590731,spring
New York,2010-04-17,17.695476595747614,spring
New York,2010-04-18,1.9094528444165686,spring
New York,2010-04-19,2.6815724753643497,spring
New York,2010-04-20,4.485931338656272,spring
New York,2010-04-21,13.887238949607923,spring
New York,2010-04-22,14.592761941576262,spring
New York,2010-04-23,9.609117418804207,spring
New York,2010-04-24,8.216273817299154,spring
New York,2010-04-25,10.81676737380859,spring
New York,2010-04-26,14.02354020718882,spring
New York,2010-04-27,7.034338290959152,spring
New York,2010-04-28,16.33390811093419,spring
New York,2010-04-29,15.89362686948639,spring
New York,2010-04-30,17.310058271737855,spring
New York,2010-05-01,8.973778441210836,spring
New York,2010-05-02,14.790989976091442,spring
New York,2010-05-03,7.175798909923239,spring
New York,2010-05-04,6.469343587648744,spring
New York,2010-05-05,9.114844696597803,spring
New York,2010-05-06,10.932764745559284,spring
New York,2010-05-07,10.871998183256553,spring
New York,2010-05-08,14.018918490225616,spring
New York,2010-05-09,15.16233862304219,spring
New York,2010-05-10,13.154306573685535,spring
New York,2010-05-11,16.78359509118758,spring
New York,2010-05-12,16.24713778561641,spring
New York,2010-05-13,5.288747384220792,spring
New York,2010-05-14,10.674517509527456,spring
New York,2010-05-15,-4.223830768701681,spring
New York,2010-05-16,14.2028162504598,spring
